plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-013	L07	BRD-K37355418-236-01-6	1.8219535	5.0	DMSO
C-7210-01-CMP-013	L08	BRD-A37704979-001-12-3	1.887175	5.0	DMSO
C-7210-01-CMP-013	L09	BRD-K58550667-001-08-7	1.95753	5.0	DMSO
C-7210-01-CMP-013	L10	BRD-A91008255-003-24-8	2.015	5.0	DMSO
C-7210-01-CMP-013	L11	BRD-K59325863-001-04-4	2.066375	5.0	DMSO
C-7210-01-CMP-013	L12	BRD-K42191735-001-08-7	2.0519675	5.0	DMSO
C-7210-01-CMP-013	L13	BRD-K10843433-001-23-5	1.5418715	5.0	DMSO
C-7210-01-CMP-013	L14	BRD-K97010173-001-04-1	1.8668075	5.0	DMSO
C-7210-01-CMP-013	L15				DMSO
C-7210-01-CMP-013	L16	BRD-K86930074-001-05-0	2.2525265	5.0	DMSO
C-7210-01-CMP-013	L17	BRD-A31564021-001-02-6	0.92246	5.0	DMSO
C-7210-01-CMP-013	L18				DMSO
C-7210-01-CMP-013	L19	BRD-K08893438-001-06-4	1.58175	5.0	DMSO
C-7210-01-CMP-013	L20	BRD-K93788137-001-04-1	2.532505	5.0	DMSO
C-7210-01-CMP-013	L21	BRD-K14560436-001-01-4	1.8623145	5.0	DMSO
C-7210-01-CMP-013	L22	BRD-K01826724-003-07-9	1.25061	5.0	DMSO
C-7210-01-CMP-013	L23	BRD-A20697603-001-07-2	8.324434999999998	5.0	DMSO
C-7210-01-CMP-013	L24	BRD-K44067360-001-29-5	1.4061495	5.0	DMSO
C-7210-01-CMP-013	M01				DMSO
C-7210-01-CMP-013	M02	BRD-K47557313-001-02-7	2.2076245	5.0	DMSO
C-7210-01-CMP-013	M03	BRD-K67637637-003-11-8	1.869365	5.0	DMSO
C-7210-01-CMP-013	M04				DMSO
C-7210-01-CMP-013	M05	BRD-K20897876-001-11-8	0.940549421441197	4.970954983331644	DMSO
C-7210-01-CMP-013	M06	BRD-K77627880-001-04-0	1.501995	5.0	DMSO
C-7210-01-CMP-013	M07	BRD-K72063794-003-01-0	2.023825	5.0	DMSO
C-7210-01-CMP-013	M08	BRD-K30177383-001-01-0	9.08346	5.0	DMSO
C-7210-01-CMP-013	M09	BRD-K45746021-003-01-9	2.124635	5.0	DMSO
C-7210-01-CMP-013	M10	BRD-K38852836-001-04-9	1.8219889999999999	5.0	DMSO
C-7210-01-CMP-013	M11	BRD-K93779381-001-01-9	2.1526695	5.0	DMSO
C-7210-01-CMP-013	M12	BRD-K78126613-001-27-7	0.8609	5.0	DMSO
C-7210-01-CMP-013	M13	BRD-K94863486-001-02-2	2.0079105	5.0	DMSO
C-7210-01-CMP-013	M14	BRD-K63430059-001-16-4	1.0809475	5.0	DMSO
C-7210-01-CMP-013	M15	BRD-K13533483-001-16-2	6.013056	5.0	DMSO
C-7210-01-CMP-013	M16	BRD-K81197548-003-01-4	1.69929	5.0	DMSO
C-7210-01-CMP-013	M17				DMSO
C-7210-01-CMP-013	M18	BRD-K97072811-001-11-4	1.246645	5.0	DMSO
C-7210-01-CMP-013	M19	BRD-K52075715-001-06-7	1.246329	5.0	DMSO
C-7210-01-CMP-013	M20	BRD-K12502280-001-11-4	2.62339	5.0	DMSO
C-7210-01-CMP-013	M21	BRD-A63310107-001-04-8	1.0361215	5.0	DMSO
C-7210-01-CMP-013	M22				DMSO
C-7210-01-CMP-013	M23				DMSO
C-7210-01-CMP-013	M24	BRD-K17849083-001-32-9	1.6366565	5.0	DMSO
C-7210-01-CMP-013	N01	BRD-K70821460-300-02-4	0.99047	5.0	DMSO
C-7210-01-CMP-013	N02	BRD-K51485109-001-01-4	2.042485	5.0	DMSO
C-7210-01-CMP-013	N03	BRD-K91370081-001-25-1	1.326525	5.0	DMSO
C-7210-01-CMP-013	N04	BRD-K49350383-001-13-7	0.83596	5.0	DMSO
C-7210-01-CMP-013	N05	BRD-K11558771-001-13-9	1.218435	5.0	DMSO
C-7210-01-CMP-013	N06	BRD-K91283740-003-01-6	2.56559	5.0	DMSO
C-7210-01-CMP-013	N07				DMSO
C-7210-01-CMP-013	N08				DMSO
C-7210-01-CMP-013	N09	BRD-K21728777-001-02-3	2.51789	5.0	DMSO
C-7210-01-CMP-013	N10	BRD-A23124853-001-01-4	2.032065	5.0	DMSO
C-7210-01-CMP-013	N11	BRD-K55966568-001-09-6	1.5517355	5.0	DMSO
C-7210-01-CMP-013	N12	BRD-K71106091-001-09-5	1.8260585	5.0	DMSO
C-7210-01-CMP-013	N13	BRD-K22149900-001-06-2	2.790675	5.0	DMSO
C-7210-01-CMP-013	N14	BRD-K28132190-001-02-0	2.39963	5.0	DMSO
C-7210-01-CMP-013	N15	BRD-K76674262-001-03-3	2.7281065	5.0	DMSO
C-7210-01-CMP-013	N16	BRD-K36461289-001-05-8	1.4614195	5.0	DMSO
C-7210-01-CMP-013	N17				DMSO
C-7210-01-CMP-013	N18	BRD-K07881437-001-03-8	2.372774	5.0	DMSO
C-7210-01-CMP-013	N19	BRD-K61397605-001-01-8	2.70348	5.0	DMSO
C-7210-01-CMP-013	N20	BRD-K61642990-001-01-0	1.408335	5.0	DMSO
C-7210-01-CMP-013	N21	BRD-K37764012-001-03-3	2.45312	5.0	DMSO
C-7210-01-CMP-013	N22				DMSO
C-7210-01-CMP-013	N23	BRD-K47978074-001-03-2	0.605675	5.0	DMSO
